"species","Meand13C","SDd13C","Meand15N","SDd15N","n"
"ff_chicken",-17.2592592592593,0.331962995226019,2.35925925925926,0.27492552734158,27
"fruit",-26.4889053273913,2.10163351605458,3.38530554952174,1.53863956835974,23
"gopher",-27.5469117333333,0.978700737651329,5.59527391733333,0.713231871762391,9
"rat",-23.1476900981818,1.68529687409223,8.17328100690909,1.82144323679633,11
"wet.food",-20.8749629909091,3.06505280064736,5.42188167427273,2.14918932850642,11
"medium.mammal",-19.6178594703333,1.80760382486704,7.55845386273333,1.18646103578807,25
