"d13C","d15N","ISA"
-19.1272128081818,8.42865712718182,24.02176918
-19.7063999775,7.650886669625,42.22761194
-17.8261652854545,8.05096376936364,80.89182058
-18.242756882,8.291804418,80.89182058
-22.51743376125,7.20182497225,17.71913669
-18.6807417826667,8.48265215346667,24.02176918
-21.1053846153846,9.82538461538462,24.02176918
-18.51,7.75272727272727,24.02176918
-20.5785714285714,8.685,44.37580175
-19.2175,8.63375,44.37580175
-18.385,8.65,80.89182058
-19.5959090909091,7.77636363636364,17.71913669
-19.432,7.1564,44.37580175
-19.2646153846154,7.75307692307692,44.37580175
-20.5242857142857,8.21428571428571,44.37580175
-18.307,8.036,24.02176918
-21.695,9.515,44.37580175
-21.4633333333333,8.06666666666667,42.22761194
-19.236637856,8.96887975386667,42.22761194
-18.084543540625,8.39602857075,24.02176918
-19.235,8.55,42.22761194
-20.072,7.74066666666667,17.71913669
-18.492828466,7.3683872784,17.71913669
-21.3035957278571,8.4421550965,17.71913669
-19.7628571428571,8.17142857142857,17.71913669
-20.98,8.65583333333333,17.71913669
-22.0754937982353,7.18410117135294,17.71913669
-20.4211111111111,9.04666666666667,17.71913669
-21.4044444444444,7.67388888888889,17.71913669
-21.1914285714286,7.91142857142857,17.71913669
-21.3944444444444,7.89333333333333,17.71913669
-19.7346153846154,8.12846153846154,17.71913669
-20.6000085411111,8.44864350477778,17.71913669
-19.515,8.4575,17.71913669
-20.3326666666667,8.152,17.71913669
-20.3662419858333,8.36893358191667,17.71913669
-21.0216666666667,8.125,17.71913669
-16.8588888888889,8.19111111111111,60.90609791
-19.6293333333333,7.35933333333333,42.22761194
-17.626875,8.28125,51.1756447
-18.5955555555556,8.13833333333333,51.1756447
-18.91,7.8965,24.02176918
-19.4666666666667,7.66285714285714,44.37580175
-18.7565,9.075,17.71913669
-16.842,7.92433333333333,80.89182058
-20.6212,8.97,17.71913669
-18.6947896075,8.277971378375,48.31317558
-17.5279801542857,7.16388243628571,48.31317558
-16.6131019363636,7.88913682445455,60.90609791
-17.9310969872727,7.40171265763636,60.90609791
-18.392312434375,8.6330600659375,51.1756447
-18.7348208546667,8.1860182438,24.02176918
-21.005,7.9325,44.37580175
-21.253376665,8.7025658305,17.71913669
-19.3272727272727,7.69818181818182,24.02176918
-16.81125,8.029375,72.62389
-17.77875,7.164375,72.62389
-16.5215,7.422,60.90609791
-16.879375,6.800625,48.31317558
-19.8325,7.92125,42.22761194
-19.349371041875,7.909692032375,17.71913669
-21.4795454545455,8.56863636363636,72.62389
-17.3546153846154,7.88538461538462,70.74563162
-19.9654545454545,8.22363636363636,51.1756447
-15.735,8.415,70.74563162
-18.714933371875,6.9445765118125,48.31317558
-18.46505776125,7.03023039975,48.31317558
