"species","Meand13C","Meand15N","SDd13C","SDd15N","n"
"human",-19.0671111250842,3.89057046676599,1.63987357145424,1.15656739346852,38
"natural.high.N",-21.3827747842576,7.86586743482121,1.77250747648324,1.40336894645109,36
"natural.low.N",-27.0179085303623,4.49028973342754,1.86934780657784,1.36812104109092,32
