SampleID,C_raw,N_raw,C_total,N_total,individual,whisker,tray,duplicate
S19-8775-E,-19.89,8.31,100.59,33.78,S19-8775,S19-8775,SFCoyTray9-ES,No
S19-8775-F,-19.44,8.26,126.05,42.08,S19-8775,S19-8775,SFCoyTray9-ES,No
S19-8775-G,-20.65,8.21,113.18,37.39,S19-8775,S19-8775,SFCoyTray9-ES,No
S19-8786-A,-16.65,8.65,94.74,32.01,S19-8786,S19-8786,SFCoyTray9-ES,No
S19-8786-B,-18.52,8.73,110.34,36.71,S19-8786,S19-8786,SFCoyTray9-ES,No
S19-8786-C,-18.03,8.72,101.64,33.64,S19-8786,S19-8786,SFCoyTray9-ES,No
S19-8786-D,-18.77,9.17,112.74,37.79,S19-8786,S19-8786,SFCoyTray9-ES,No
S19-8786-E,-18.88,9.46,114.53,38.34,S19-8786,S19-8786,SFCoyTray9-ES,No
S19-8786-F,-18.52,10.02,119.32,39.9,S19-8786,S19-8786,SFCoyTray9-ES,No
S19-8786-G,-18.55,9.86,92.04,30.38,S19-8786,S19-8786,SFCoyTray9-ES,No
S19-8786-H,-18.73,9.49,87.38,28.61,S19-8786,S19-8786,SFCoyTray9-ES,No
S19-8786-I,-17.9,9.35,98.04,32.35,S19-8786,S19-8786,SFCoyTray9-ES,No
S19-8786-J,-17.26,8.64,129.34,43.71,S19-8786,S19-8786,SFCoyTray9-ES,No
S19-8786-K,-19.54,9.27,163.76,55.14,S19-8786,S19-8786,SFCoyTray9-ES,No
S21-1202-A,-20.44,8.24,129.64,41.33,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-B,-19.66,7.66,100.74,33.58,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-C,-19.74,7.49,94.89,31.13,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-D,-19.83,7.5,121.72,39.9,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-E,-19.67,7.3,120.07,39.43,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-F,-19.89,7.51,101.94,32.9,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-G,-19.86,7.84,108.39,34.8,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-H,-19.82,7.96,127.25,41.13,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-I,-19.16,8.12,88.13,28.2,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-J,-18.79,8.34,129.04,41.54,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-K,-18.62,7.65,102.09,33.78,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-L,-19.2,7.39,96.99,32.21,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-M,-19.67,7.43,108.84,36.71,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-N,-20.67,7.09,98.49,31.81,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-O,-19.78,7.61,124.86,41.26,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-P,-18.94,7.51,95.79,31.53,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-Q,-19.02,7.68,113.18,37.25,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-R,-18.9,7.78,102.24,33.85,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-S,-19.37,7.52,87.98,28.47,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-T,-18.63,7.72,115.73,37.66,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1202-U,-19.14,7.58,112.29,36.71,S21-1202,S21-1202,SFCoyTray9-ES,No
S21-1203-A,-19.56,9.08,92.79,29.83,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-B,-17.89,9,102.54,33.78,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-C,-16.02,9.01,115.73,38.2,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-D,-16.88,8.5,109.89,36.57,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-E,-17.06,8.63,121.12,40.58,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-F,-16.86,9.26,108.69,36.5,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-G,-16.9,8.71,102.84,34.39,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-H,-17.43,8.42,105.99,35.62,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-I,-17.94,7.95,109.29,36.91,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-J,-18.41,8.85,94.44,31.47,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-K,-18.44,9.41,109.29,36.43,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-L,-18.84,8.88,100.14,33.1,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-M,-19.63,8.9,104.79,34.66,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-N,-20.2,8.67,101.04,31.33,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-O,-18.77,9.05,95.49,30.79,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-P,-18.46,9.28,108.39,34.73,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-Q,-17.67,9.13,110.79,35.41,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-R,-18.13,8.66,101.04,32.96,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1203-S,-18.85,8.43,112.64,37.45,S21-1203,S21-1203,SFCoyTray9-ES,No
S21-1204-A,-20.18,9.22,92.98,30.65,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-B,-18.83,8.67,116.72,39.52,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-C,-18.2,8.82,119.71,40.09,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-D,-17.86,9.33,103.52,34.8,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-E,-18.07,9.27,133.37,44.62,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-F,-17.67,9.22,117.87,39.75,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-G,-18.48,8.96,106.44,34.12,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-H,-18.52,9.16,103.89,34.39,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-I,-18.75,8.98,97.44,31.94,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-J,-19.01,8.94,107.49,35.55,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-K,-18.31,9.59,123.06,40.86,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-L,-18.2,9.41,115.73,38.34,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-M,-18.98,9.12,108.54,35.82,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-N,-18.53,9.42,95.19,31.47,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-O,-18.84,9.09,88.88,29.08,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-P,-18.89,9.15,96.09,31.67,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-Q,-19.21,9.2,131.28,43.65,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-R,-19.52,8.79,98.79,32.21,S21-1204,S21-1204,SFCoyTray9-ES,No
S21-1204-S,-19.49,8.53,128.29,41.47,S21-1204,S21-1204,SFCoyTray10-ES,No
S21-1204-T,-19.59,8.63,149.48,49.29,S21-1204,S21-1204,SFCoyTray10-ES,No
S21-1205-A,-20.15,8.66,101.49,32.35,S21-1205,S21-1205,SFCoyTray10-ES,No
S21-1205-B,-20.2,8.63,115.43,39.09,S21-1205,S21-1205,SFCoyTray10-ES,No
S21-1205-C,-20.14,8.37,109.14,36.71,S21-1205,S21-1205,SFCoyTray10-ES,No
S21-1205-D,-20.48,8.43,108.39,36.43,S21-1205,S21-1205,SFCoyTray10-ES,No
S21-1205-E,-20.39,8.31,94.29,31.87,S21-1205,S21-1205,SFCoyTray10-ES,No
S21-1205-F,-19.45,7.95,115.28,39.02,S21-1205,S21-1205,SFCoyTray10-ES,No
S21-1205-G,-20.1,8.04,92.79,31.47,S21-1205,S21-1205,SFCoyTray10-ES,No
S21-1205-H,-20.35,8.38,103.74,34.87,S21-1205,S21-1205,SFCoyTray10-ES,No
S21-1205-I,-19.52,8.19,109.14,37.18,S21-1205,S21-1205,SFCoyTray10-ES,No
S21-1205-J,-20.79,8.39,103.59,34.46,S21-1205,S21-1205,SFCoyTray10-ES,No
S21-1205-K,-20.1,8.55,94.89,31.81,S21-1205,S21-1205,SFCoyTray10-ES,No
S21-1205-L,-21.38,8.57,88.43,29.63,S21-1205,S21-1205,SFCoyTray10-ES,No
S21-1205-M,-21.24,7.98,90.23,29.63,S21-1205,S21-1205,SFCoyTray10-ES,No
S21-1205-N,-21.5,8.53,91.74,30.51,S21-1205,S21-1205,SFCoyTray10-ES,No
S21-1205-O,-20.98,7.64,92.34,30.11,S21-1205,S21-1205,SFCoyTray10-ES,No
S21-1205-P,-21.59,8.22,129.49,42.9,S21-1205,S21-1205,SFCoyTray10-ES,No
S21-1205-Q,-20.64,8.48,116.48,38.2,S21-1205,S21-1205,SFCoyTray10-ES,No
S21-1206-A,-18.61,8.71,103.44,33.3,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-B,-17.3,8.37,120.37,39.49,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-C,-16.63,8.56,127.84,43.03,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-D,-17.36,8.28,143.37,48.27,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-E,-17.48,8.08,119.77,40.38,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-F,-17.07,8.22,104.94,34.94,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-G,-17.23,8,116.03,38.81,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-H,-17.25,7.89,112.74,37.52,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-I,-17.12,7.69,89.18,29.9,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-J,-16.98,7.98,107.79,35.82,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-K,-16.89,7.66,113.33,37.79,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-L,-16.98,7.55,107.94,35.55,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-M,-16.7,7.53,107.04,35.89,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-N,-16.64,7.43,106.89,35.82,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-O,-16.88,7.95,119.77,39.97,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-P,-16.66,7.66,115.28,38.34,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-Q,-16.55,7.24,87.83,29.15,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-R,-16.58,7.51,111.09,36.71,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-S,-16.38,7.73,108.09,35.62,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-T,-16.17,7.72,110.19,36.57,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-U,-16.44,7.52,95.49,31.6,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-V,-16.08,8.07,95.49,31.67,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-W,-15.75,7.98,129.94,42.83,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-X,-16.54,7.89,131.73,43.58,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-Y,-16.72,7.74,116.33,38.2,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-Z,-16.49,8.2,112.74,37.25,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-ZA,-16.92,8.25,97.59,32.55,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-ZB,-17.3,8,116.18,38.47,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-ZC,-16.29,8.1,95.64,31.47,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1206-ZD,-17.27,8.22,104.94,34.32,S21-1206,S21-1206,SFCoyTray10-ES,No
S21-1207-A,-21.61,9.9,119.92,38.27,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-B,-20.75,9.62,89.63,29.9,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-C,-20.5,9.41,110.94,37.39,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-D,-20.02,9.65,136.51,45.82,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-E,-19.78,9.28,110.04,36.84,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-F,-19.57,9.35,99.84,33.64,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-G,-19.73,9.53,99.69,33.37,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-H,-19.96,9.3,125.3,42.22,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-I,-19.62,9.74,111.39,37.73,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-J,-19.87,9.22,101.19,34.26,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-K,-20.13,9,114.98,38.81,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-L,-19.91,8.99,102.95,34.61,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-M,-20.55,8.24,100.36,33.45,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-N,-20.4,8.3,98.99,33.39,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-O,-20.42,8.75,104.74,34.86,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-P,-20.99,8.82,109.14,36.44,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-Q,-20.83,8.75,122.34,40.99,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-R,-21.13,8.23,106.8,35.63,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-S,-21.68,8.02,95.79,31.96,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-T,-21.85,7.87,120.61,40.57,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-U,-21.33,7.79,114.96,38.21,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-V,-21.3,8.26,103.44,34.02,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-W,-21.51,8.92,115,38.19,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-X,-21.51,9.3,129.47,42.53,S21-1207,S21-1207,SFCoyTray10-ES,No
S21-1207-Y,-20.58,10.01,129.31,42.41,S21-1207,S21-1207,SFCoyTray10-ES,No
S19-8753-A,-19.09,8.73,101.62,33.16,S19-8753,S19-8753,SFCoyTray10-ES,No
S19-8753-B,-18.52,9.14,114.12,38.38,S19-8753,S19-8753,SFCoyTray10-ES,No
S19-8753-C,-18.62,9.19,100.29,33.84,S19-8753,S19-8753,SFCoyTray10-ES,No
S19-8753-D,-18.41,8.26,116.92,38.95,S19-8753,S19-8753,SFCoyTray10-ES,No
S19-8753-E,-18.35,8.49,112.71,38.06,S19-8753,S19-8753,SFCoyTray10-ES,No
S19-8753-F,-18.29,8.49,128.52,43.4,S19-8753,S19-8753,SFCoyTray10-ES,No
S19-8753-G,-18.81,8.73,105.88,35.62,S19-8753,S19-8753,SFCoyTray10-ES,No
S19-8753-H,-18.67,8.57,92.21,31.09,S19-8753,S19-8753,SFCoyTray10-ES,No
S19-8753-I,-19.18,8.6,115.3,38.47,S19-8753,S19-8753,SFCoyTray10-ES,No
S19-8753-J,-19.14,8.54,86.52,28.36,S19-8753,S19-8753,SFCoyTray10-ES,No
S19-8753-K,-19,8.08,102.46,33.8,S19-8753,S19-8753,SFCoyTray10-ES,No
S19-8753-L,-19.35,8.59,105.35,34.95,S19-8753,S19-8753,SFCoyTray10-ES,No
S19-8753-M,-19.87,9.09,126.67,41.86,S19-8753,S19-8753,SFCoyTray10-ES,No
S19-8753-N,-20.75,8.96,109.2,35.32,S19-8753,S19-8753,SFCoyTray10-ES,No
S19-8753-O,-20.84,8.08,101.63,32.42,S19-8753,S19-8753,SFCoyTray10-ES,No
S19-8753-P,-20.59,8.6,107.23,34.06,S19-8753,S19-8753,SFCoyTray10-ES,No
S19-8754-A,-18.84,9.45,97.75,31.42,S19-8754,S19-8754,SFCoyTray10-ES,No
S19-8754-B,-18.21,8.83,109.3,36.31,S19-8754,S19-8754,SFCoyTray10-ES,No
S19-8754-C,-18.77,8.47,138.67,46.53,S19-8754,S19-8754,SFCoyTray10-ES,No
S19-8754-D,-19.32,8.64,86.68,28.53,S19-8754,S19-8754,SFCoyTray10-ES,No
S19-8754-E,-17.68,8.56,127.52,42.29,S19-8754,S19-8754,SFCoyTray10-ES,No
S19-8754-F,-17.49,7.95,138.74,45.76,S19-8754,S19-8754,SFCoyTray10-ES,No
S23-0157-I,-19.22,8.12,96.88,33.22,S23-0157,S23-0157,SFCoyTray6-TC,No
S23-0157-J,-19.51,8.11,99.76,33.94,S23-0157,S23-0157,SFCoyTray6-TC,No
S23-0157-K,-19.4,8.04,106.43,36.17,S23-0157,S23-0157,SFCoyTray6-TC,No
S23-0157-L,-20.24,7.91,97.22,32.87,S23-0157,S23-0157,SFCoyTray6-TC,No
S23-0157-M,-20.39,7.85,103.76,34.82,S23-0157,S23-0157,SFCoyTray6-TC,No
S23-0157-N,-20.11,8.07,143.61,48.18,S23-0157,S23-0157,SFCoyTray6-TC,No
S23-0157-O,-20.95,7.9,122.87,39.82,S23-0157,S23-0157,SFCoyTray6-TC,No
S23-0157-P,-20.26,7.7,146.38,47.45,S23-0157,S23-0157,SFCoyTray6-TC,No
S23-0158-A,-19.23,9.08,90.01,29.77,S23-0158,S23-0158,SFCoyTray6-TC,No
S23-0158-B,-18.79,8.27,116.05,39.69,S23-0158,S23-0158,SFCoyTray6-TC,No
S23-0158-C,-19.52,8.14,98.07,34.01,S23-0158,S23-0158,SFCoyTray6-TC,No
S23-0158-D,-18.31,8.38,113.19,38.89,S23-0158,S23-0158,SFCoyTray6-TC,No
S23-0158-E,-17.9,7.91,126.46,43.52,S23-0158,S23-0158,SFCoyTray6-TC,No
S23-0158-F,-19.05,8.09,110.83,38.27,S23-0158,S23-0158,SFCoyTray6-TC,No
S23-0158-G,-18.67,8.41,143.65,49.26,S23-0158,S23-0158,SFCoyTray6-TC,No
S23-0158-H,-19.35,8.68,91.92,31.74,S23-0158,S23-0158,SFCoyTray6-TC,No
S23-0158-I,-20.06,7.99,95.23,32.55,S23-0158,S23-0158,SFCoyTray6-TC,No
S23-0158-J,-20.95,7.79,103.05,35.08,S23-0158,S23-0158,SFCoyTray6-TC,No
S23-0158-K,-21.59,8.25,119.99,39.79,S23-0158,S23-0158,SFCoyTray6-TC,No
S23-0158-L,-21.48,8.81,133.36,44.3,S23-0158,S23-0158,SFCoyTray6-TC,No
S23-0158-M,-20.63,9.82,103.09,34.06,S23-0158,S23-0158,SFCoyTray6-TC,No
S23-0159-A,-18.12,8.23,108.68,37.27,S23-0159,S23-0159,SFCoyTray6-TC,No
S23-0159-B,-17.65,8.3,86.87,29.96,S23-0159,S23-0159,SFCoyTray6-TC,No
S23-0159-C,-19.17,8.17,107.63,36.82,S23-0159,S23-0159,SFCoyTray6-TC,No
S23-0159-D,-18.39,7.73,123.95,40.62,S23-0159,S23-0159,SFCoyTray6-TC,No
S23-0159-E,-19.7,7.02,115.78,38.46,S23-0159,S23-0159,SFCoyTray6-TC,No
S23-0159-F,-18.33,7.61,114.16,37.81,S23-0159,S23-0159,SFCoyTray6-TC,No
S23-0159-G,-18.2,7.75,116.93,38.72,S23-0159,S23-0159,SFCoyTray6-TC,No
S23-0159-H,-18.96,8.25,187.86,61.83,S23-0159,S23-0159,SFCoyTray6-TC,No
S23-0160-A,-17.2,7.77,137.18,45.18,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-B,-17.03,7.05,133.71,45.43,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-C,-17.05,7.13,126.33,43,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-D,-17.17,7.69,114.39,39.01,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-E,-17.39,7.62,150.8,51.3,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-F,-17.45,7.53,152.62,52.01,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-G,-17.46,7.45,136.83,47.04,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-H,-16.62,7.35,119.71,41.06,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-I,-16.42,7.09,96.79,33.14,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-J,-16.37,7.17,116.28,39.76,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-K,-16.75,7.18,128.87,43.86,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-L,-17.1,7.14,109.31,37.57,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-M,-17.08,7.12,92.22,31.72,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-N,-17.01,7.58,95.71,32.91,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-O,-16.95,7.27,120.5,41.01,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-P,-17.15,6.94,126.6,43.04,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-Q,-17.26,6.86,126.8,42.88,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-R,-17.37,6.99,103.88,35.42,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-S,-17.4,7.1,109.42,37.09,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-T,-17.04,7.2,114.09,38.48,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-U,-17.24,7.35,102.67,34.81,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-V,-17.35,7.3,112.22,37.83,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-W,-17.32,6.61,95.46,32.33,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-X,-17.28,6.92,99.13,33.39,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-Y,-17.3,7.01,108.7,36.76,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-Z,-16.99,6.93,119.59,39.87,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-0160-ZA,-17.53,6.89,118.95,39.83,S23-0160,S23-0160,SFCoyTray6-TC,No
S23-2156-A,-15.29,8.83,103.17,34.79,S23-2156,S23-2156,SFCoyTray6-TC,No
S23-2156-B,-15.25,8.52,103.73,35.06,S23-2156,S23-2156,SFCoyTray6-TC,No
S23-2156-C,-15.55,8.45,89.14,30.1,S23-2156,S23-2156,SFCoyTray6-TC,No
S23-2156-D,-16.85,7.86,125.68,43.25,S23-2156,S23-2156,SFCoyTray6-TC,No
S23-0161-A,-17.01,8.32,161.15,54.82,S23-0161,S23-0161,SFCoyTray6-TC,No
S23-0161-B,-17.17,8.03,97.67,33.47,S23-0161,S23-0161,SFCoyTray6-TC,No
S23-0161-C,-17.73,7.74,137.22,46.94,S23-0161,S23-0161,SFCoyTray6-TC,No
S23-0161-D,-17.97,7.71,95.81,33,S23-0161,S23-0161,SFCoyTray6-TC,No
S23-0161-E,-18.04,7.82,110.54,37.75,S23-0161,S23-0161,SFCoyTray6-TC,No
S23-0161-F,-18.3,8.15,123.39,42.1,S23-0161,S23-0161,SFCoyTray6-TC,No
S23-0161-G,-18.81,8.11,104.29,35.52,S23-0161,S23-0161,SFCoyTray6-TC,No
S23-0161-H,-18.37,7.76,89.62,30.49,S23-0161,S23-0161,SFCoyTray6-TC,No
S23-0161-I,-18.09,7.61,128.8,42.65,S23-0161,S23-0161,SFCoyTray6-TC,No
S23-0161-J,-18.78,7.58,99.72,33.41,S23-0161,S23-0161,SFCoyTray6-TC,No
S23-0161-K,-19.58,8.74,95.49,32.03,S23-0161,S23-0161,SFCoyTray6-TC,No
S23-0162-A,-18.43,8.19,153,50.34,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-B,-18.6,7.95,137.28,46.79,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-C,-19.59,8.03,126.74,43.16,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-D,-20.11,8.54,109.35,37.29,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-E,-20.82,9.33,119.6,40.7,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-F,-20.61,9.23,120.37,40.71,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-G,-20.97,8.86,116.86,39.7,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-H,-21.93,8.53,120.44,40.93,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-I,-21.88,8.57,127.44,43.31,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-J,-22.27,8.71,103.67,35.47,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-K,-22.7,8.68,128.21,43.56,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-L,-22.72,8.67,100.29,34.25,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-M,-22.65,8.69,104.68,35.67,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-N,-22.39,8.41,86.34,29.29,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-O,-21.94,8.41,95.12,32.47,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-P,-22.02,8.41,109.78,37.15,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-Q,-22.71,8.6,125,42.15,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-R,-21.96,8.2,99.03,33.18,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-S,-22,8.49,120.12,40.51,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-T,-21.54,8.32,86.93,29.51,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-U,-21.95,8.8,94.38,32.1,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0162-V,-22.76,8.89,150.86,49.94,S23-0162,S23-0162,SFCoyTray6-TC,No
S23-0163-A,-17.25,7.88,151.56,50.8,S23-0163,S23-0163,SFCoyTray6-TC,No
S23-0163-B,-17.23,7.66,106.64,36.27,S23-0163,S23-0163,SFCoyTray6-TC,No
S23-0163-C,-16.42,7.95,100.57,33.84,S23-0163,S23-0163,SFCoyTray6-TC,No
S19-8755-A,-19.47,7.63,88.86,30.24,S19-8755,S19-8755,SFCoyTray11-ES,No
S19-8755-B,-19.88,7.56,133.33,45.38,S19-8755,S19-8755,SFCoyTray11-ES,No
S19-8755-C,-20.02,7.63,84.63,29.09,S19-8755,S19-8755,SFCoyTray11-ES,No
S19-8755-D,-19.6,7.64,126.03,43,S19-8755,S19-8755,SFCoyTray11-ES,No
S19-8755-E,-19.26,7.49,104.07,35.64,S19-8755,S19-8755,SFCoyTray11-ES,No
S19-8755-F,-19.4,7.7,135.83,45.77,S19-8755,S19-8755,SFCoyTray11-ES,No
S19-8755-G,-19.12,7.73,112.86,38.42,S19-8755,S19-8755,SFCoyTray11-ES,No
S19-8755-H,-18.6,8.29,111.89,38.28,S19-8755,S19-8755,SFCoyTray11-ES,No
S19-8755-I,-18.46,7.91,97.91,33.39,S19-8755,S19-8755,SFCoyTray11-ES,No
