SampleID,Replicate,Name,Site,Initials,Year,Month,Day,Lat,Long,Sus.sp,Genotype,Geno.Sp,Category,Individual,Cytb_Sp
RS20_3777,Yes redo,20200812-TC-07,GGPE,TC,2020,8,12,37.77023,-122.47397,coyote,Success,coyote,SFCoy,SFCoy70,NA
RS20_3781,Yes redo,20200817-TC-01,LAKE,TC,2020,8,17,37.71886,-122.48959,coyote,Fail,NA,NA,NA,NA
RS20_3784,Yes redo,20200817-TC-04,SFGC,TC,2020,8,17,37.71108,-122.47597,coyote,Fail,NA,NA,NA,NA
RS20_3787,Yes redo,20200817-TC-07,SFGC,TC,2020,8,17,37.70714,-122.47716,coyote,Success,coyote,SFCoy,SFCoy37,NA
RS20_3803,Yes redo,20200819-TC-07,PRES,TC,2020,8,19,37.79274,-122.45067,coyote,Fail,NA,NA,NA,NA
RS20_3809,Yes redo,20200824-TC-06,MCLA,TC,2020,8,24,37.71756,-122.42156,coyote,Success,coyote,SFCoy,SFCoy41,NA
RS20_3815,Yes redo,20200824-TC-12,STMA,TC,2020,8,24,37.73455,-122.42117,coyote,Fail,NA,NA,NA,NA
RS20_3824,Yes redo,20200824-TC-21,GLEN,TC,2020,8,24,37.74274,-122.44252,coyote,Success,coyote,SFCoy,SFCoy85,NA
RS20_3825,Yes redo,20200824-TC-22,GLEN,TC,2020,8,24,37.74282,-122.44256,coyote,Success,coyote,SFCoy,SFCoy42,NA
RS20_3832,Yes redo,20200907-TC-07,BERN,TC,2020,9,7,37.74258,-122.41142,coyote,Success,coyote,SFCoy,SFCoy49,NA
RS20_3835,Yes redo,20200907-TC-10,STMA,TC,2020,9,7,37.73447,-122.42138,coyote,Success,coyote,SFCoy,SFCoy45,NA
RS20_3838,Yes redo,20200907-TC-13,STMA,TC,2020,9,7,37.73473,-122.42144,coyote,Fail,NA,NA,NA,NA
RS21_0008,Yes redo,20201006-DH-01,PRES,DH,2020,10,6,37.792245,-122.455947,coyote,Success,coyote,SFCoy,SFCoy8,NA
RS21_0019,Yes redo,20201111-TC-11,BERN,TC,2020,11,11,37.74395,-122.41571,coyote,Fail,NA,NA,NA,NA
RS21_0021,Yes redo,20201111-TC-13,BERN,TC,2020,11,11,37.74367,-122.4142,coyote,Fail,NA,NA,NA,NA
RS21_0024,Yes redo,20201111-TC-16,LAGU,TC,2020,11,11,37.74959,-122.45505,coyote,Fail,NA,NA,NA,NA
RS21_0054,Yes redo,20201229-TC-03,LEND,TC,2020,12,29,37.78131,-122.50932,coyote,Fail,NA,NA,NA,NA
RS21_0056,Yes redo,20201229-TC-05,GGPW,TC,2020,12,29,37.76727,-122.49951,coyote,Fail,NA,NA,NA,NA
RS21_0060,Yes redo,20201230-TC-01,PRES,TC,2020,12,30,37.79178,-122.44932,coyote,Fail,NA,NA,NA,NA
RS21_0062,Yes redo,20201230-TC-03,BERN,TC,2020,12,30,37.74345,-122.41375,coyote,Success,coyote,SFCoy,SFCoy14,NA
RS21_0069,Yes redo,20200404-JK-102,LAKE,JK,2020,4,4,37.72840428,-122.4935824,coyote,Success,coyote,SFCoy,SFCoy55,NA
RS21_0085,Yes redo,20200413-JK-118,LAKE,JK,2020,4,13,37.729695,-122.48071,coyote,Success,coyote,SFCoy,SFCoy96,NA
RS21_0088,Yes redo,20200415-JK-121,LAKE,JK,2020,4,15,37.729695,-122.48071,coyote,Fail,NA,NA,NA,NA
RS21_0101,Yes redo,20200428-JK-134,GLEN,JK,2020,4,28,37.744329,-122.446116,coyote,Fail,NA,NA,NA,NA
RS21_0104,Yes redo,20200430-JK-137,CHP,JK,2020,4,30,37.765123,-122.438632,coyote,Success,coyote,SFCoy,SFCoy13,NA
RS21_0105,Yes redo,20200429-JK-138,CHP,JK,2020,4,29,37.765123,-122.438632,coyote,Success,coyote,SFCoy,SFCoy73,NA
RS21_0108,Yes redo,20200502-JK-141,SFGC,JK,2020,5,2,37.710304,-122.477567,coyote,Fail,NA,NA,NA,NA
RS21_0109,Yes redo,20200505-JK-142,SFGC,JK,2020,5,5,37.710304,-122.477567,coyote,Success,coyote,SFCoy,SFCoy60,NA
RS21_0113,Yes redo,20200512-JK-146,GGHP,JK,2020,5,12,37.750006,-122.469392,coyote,Success,coyote,SFCoy,SFCoy85,NA
